epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.623,1.03953,1.69273,1.08738,0.92733,0.9587,0.93657,0.63282,1.18615,2.12786,1.31593,0.00066087,0.00066087,0.00066087
2,75.07,1.08651,0.96645,1.1057,0.99684,0.9456,0.97871,0.70373,1.11938,1.03525,1.30394,0.00131439,0.00131439,0.00131439
3,109.682,1.07723,0.77535,1.11309,0.98378,0.94277,0.96826,0.69932,1.18913,0.75051,1.38825,0.00195472,0.00195472,0.00195472
4,145.56,1.06662,0.67422,1.1072,0.98283,0.95337,0.96889,0.69531,1.19373,0.7169,1.35247,0.0019406,0.0019406,0.0019406
5,179.617,1.06422,0.63091,1.09638,0.96626,0.96451,0.97424,0.6506,1.15202,0.71282,1.28462,0.0019208,0.0019208,0.0019208
6,215.709,1.05792,0.58524,1.09563,0.98679,0.96763,0.98187,0.71867,1.12267,0.72305,1.26812,0.001901,0.001901,0.001901
7,250.386,1.02863,0.55339,1.07629,0.99266,0.9456,0.98479,0.72315,1.08896,0.60081,1.2368,0.0018812,0.0018812,0.0018812
8,286.772,1.02874,0.55814,1.07115,0.99151,0.96632,0.99201,0.71078,1.11472,0.58689,1.2496,0.0018614,0.0018614,0.0018614
9,321.016,1.03213,0.54588,1.07821,0.98184,0.98032,0.9936,0.72818,1.09393,0.50136,1.22889,0.0018416,0.0018416,0.0018416
10,356.75,1.00032,0.51477,1.06083,0.98956,0.98237,0.9938,0.73352,1.03885,0.50107,1.17993,0.0018218,0.0018218,0.0018218
11,391.653,0.99306,0.51814,1.06477,0.97164,0.97644,0.98192,0.70463,1.16834,0.58883,1.34163,0.001802,0.001802,0.001802
12,427.282,0.9953,0.49964,1.05981,0.98291,0.96373,0.9824,0.72004,1.09644,0.55215,1.27839,0.0017822,0.0017822,0.0017822
13,462.112,1.00456,0.49921,1.06895,0.98757,0.9715,0.99387,0.74828,1.03447,0.47992,1.1836,0.0017624,0.0017624,0.0017624
14,497.183,1.00947,0.51025,1.06834,0.992,0.96336,0.99131,0.72693,1.08213,0.67161,1.25202,0.0017426,0.0017426,0.0017426
15,532.691,0.97693,0.50858,1.0568,0.9899,0.9715,0.98704,0.73892,1.0727,0.56537,1.25553,0.0017228,0.0017228,0.0017228
16,568.056,0.98311,0.48258,1.05551,0.98416,0.96581,0.99288,0.68812,1.08826,0.57824,1.23475,0.001703,0.001703,0.001703
17,603.762,0.9776,0.47784,1.05376,0.99213,0.98028,0.99299,0.73708,1.0516,0.47445,1.22273,0.0016832,0.0016832,0.0016832
18,637.649,0.96982,0.46967,1.04808,0.99733,0.96908,0.98508,0.72893,1.07715,0.51192,1.21026,0.0016634,0.0016634,0.0016634
19,673.374,0.96616,0.48444,1.05815,0.98947,0.97927,0.99117,0.71946,1.06486,0.48316,1.24151,0.0016436,0.0016436,0.0016436
20,707.488,0.95818,0.46162,1.04846,0.99051,0.98187,0.99464,0.72884,1.01832,0.46097,1.20065,0.0016238,0.0016238,0.0016238
21,743.154,0.9498,0.46351,1.04631,0.99177,0.98446,0.99423,0.73285,1.00833,0.49145,1.18471,0.001604,0.001604,0.001604
22,777.222,0.97254,0.45711,1.05296,0.99738,0.98576,0.99431,0.7422,1.02525,0.47493,1.17658,0.0015842,0.0015842,0.0015842
23,812.328,0.95696,0.45662,1.0516,0.99107,0.97927,0.99372,0.74465,1.01783,0.43963,1.18305,0.0015644,0.0015644,0.0015644
24,846.518,0.95471,0.44985,1.04062,0.98452,0.9887,0.99442,0.72398,1.03404,0.47787,1.18748,0.0015446,0.0015446,0.0015446
25,880.824,0.94037,0.46085,1.04089,0.98954,0.98058,0.99268,0.73896,1.0125,0.4645,1.20919,0.0015248,0.0015248,0.0015248
26,916.636,0.92463,0.43527,1.03422,0.99464,0.98446,0.99464,0.73767,1.00877,0.43316,1.19807,0.001505,0.001505,0.001505
27,950.511,0.9092,0.42238,1.02826,0.98958,0.98408,0.99467,0.75042,0.99684,0.4182,1.16241,0.0014852,0.0014852,0.0014852
28,986.396,0.92928,0.44042,1.02835,0.98859,0.98446,0.99437,0.73453,1.0023,0.42621,1.17396,0.0014654,0.0014654,0.0014654
29,1020.66,0.91393,0.42724,1.03773,0.99507,0.97409,0.9938,0.71124,1.06956,0.48427,1.23822,0.0014456,0.0014456,0.0014456
30,1056,0.91778,0.42652,1.03542,0.99481,0.99224,0.99492,0.74904,0.99705,0.4301,1.17783,0.0014258,0.0014258,0.0014258
31,1091.02,0.89127,0.41964,1.01503,0.99475,0.9825,0.99462,0.70262,1.06794,0.44449,1.22109,0.001406,0.001406,0.001406
32,1126.85,0.89665,0.4234,1.03055,0.9922,0.98873,0.99487,0.71966,1.06981,0.42425,1.21746,0.0013862,0.0013862,0.0013862
33,1161.97,0.90696,0.42007,1.03198,0.99739,0.99041,0.99497,0.75176,0.98403,0.41799,1.16545,0.0013664,0.0013664,0.0013664
34,1198.36,0.88681,0.41619,1.02046,0.98555,0.97668,0.99379,0.74973,0.9563,0.43257,1.16065,0.0013466,0.0013466,0.0013466
35,1233.8,0.87864,0.40577,1.02128,0.99218,0.98569,0.99474,0.74544,0.98296,0.41222,1.17487,0.0013268,0.0013268,0.0013268
36,1269.07,0.88314,0.41612,1.02065,0.99221,0.99026,0.99482,0.7357,0.99795,0.41546,1.18578,0.001307,0.001307,0.001307
37,1303.93,0.88722,0.41437,1.0185,0.99962,0.98964,0.99495,0.72729,1.02908,0.42476,1.1918,0.0012872,0.0012872,0.0012872
38,1338.12,0.86941,0.411,1.01574,0.9948,0.99136,0.99495,0.71865,1.0789,0.44274,1.22907,0.0012674,0.0012674,0.0012674
39,1373.31,0.87066,0.40307,1.01773,0.99223,0.99272,0.99492,0.75687,1.01061,0.37972,1.19419,0.0012476,0.0012476,0.0012476
40,1406.67,0.86608,0.40506,1.01678,0.9974,0.99217,0.99497,0.74563,0.98423,0.39891,1.17638,0.0012278,0.0012278,0.0012278
41,1441.86,0.85616,0.38926,1.00313,0.98711,0.99181,0.99482,0.71963,0.99757,0.4219,1.17193,0.001208,0.001208,0.001208
42,1475.54,0.88244,0.3964,1.01663,0.99412,0.97927,0.99459,0.76956,0.92176,0.38013,1.13728,0.0011882,0.0011882,0.0011882
43,1509.43,0.85384,0.38628,1.01313,0.99483,0.99613,0.99495,0.76438,0.93413,0.38133,1.14578,0.0011684,0.0011684,0.0011684
44,1544.71,0.84693,0.38309,1.00779,0.99223,0.99244,0.9949,0.75464,0.92927,0.39022,1.12705,0.0011486,0.0011486,0.0011486
45,1579.16,0.86793,0.39664,1.01354,0.99796,0.98964,0.99497,0.74613,0.93636,0.38465,1.13707,0.0011288,0.0011288,0.0011288
46,1615.82,0.83868,0.38392,1.00439,0.99483,0.99223,0.995,0.74925,0.98137,0.38163,1.16404,0.001109,0.001109,0.001109
47,1650.21,0.83747,0.37593,0.99771,0.9948,0.99181,0.99482,0.75879,0.98082,0.37894,1.16963,0.0010892,0.0010892,0.0010892
48,1685.74,0.83909,0.3713,1.00634,0.9948,0.99194,0.99487,0.77772,0.9398,0.34964,1.15911,0.0010694,0.0010694,0.0010694
49,1720.21,0.82828,0.37826,0.9985,0.99706,0.99223,0.9949,0.75205,0.97526,0.3812,1.16995,0.0010496,0.0010496,0.0010496
50,1755.43,0.82914,0.37331,0.99999,0.99933,0.99741,0.995,0.77002,0.9586,0.3769,1.15972,0.0010298,0.0010298,0.0010298
51,1789.79,0.82872,0.37431,0.99708,0.99741,0.99838,0.99497,0.7737,0.92512,0.37696,1.12052,0.00101,0.00101,0.00101
52,1824.81,0.83018,0.37341,1.00184,0.99225,0.99525,0.99492,0.76975,0.93998,0.37127,1.15099,0.0009902,0.0009902,0.0009902
53,1859.78,0.80998,0.37512,0.99581,0.98995,0.98964,0.99471,0.76086,0.96392,0.36954,1.16657,0.0009704,0.0009704,0.0009704
54,1893.42,0.82435,0.37204,0.99682,0.99474,0.99223,0.9949,0.76284,0.96234,0.37018,1.14153,0.0009506,0.0009506,0.0009506
55,1928.55,0.80705,0.37572,0.99125,0.99982,0.99741,0.995,0.77833,0.89592,0.37571,1.11383,0.0009308,0.0009308,0.0009308
56,1962,0.81701,0.36767,0.99387,0.99715,0.99223,0.99492,0.75924,0.96906,0.37688,1.15054,0.000911,0.000911,0.000911
57,1997.01,0.80497,0.36434,0.98827,0.99206,0.99741,0.99495,0.76925,0.93427,0.3554,1.15442,0.0008912,0.0008912,0.0008912
58,2031.98,0.80825,0.36243,0.98567,0.99368,0.99741,0.99497,0.76899,0.92791,0.34677,1.13243,0.0008714,0.0008714,0.0008714
59,2066.1,0.803,0.35923,0.99549,1,0.99979,0.995,0.76253,0.95327,0.34921,1.16364,0.0008516,0.0008516,0.0008516
60,2101.39,0.80523,0.36105,0.99414,0.99338,0.99482,0.99495,0.77419,0.91828,0.34741,1.14307,0.0008318,0.0008318,0.0008318
61,2134.94,0.78979,0.35439,0.98426,0.99483,0.9973,0.9949,0.79248,0.86112,0.33079,1.11523,0.000812,0.000812,0.000812
62,2170.48,0.79907,0.36035,0.99272,0.98876,0.99482,0.99469,0.7805,0.88833,0.34686,1.12486,0.0007922,0.0007922,0.0007922
63,2204.98,0.79652,0.34588,0.98774,0.99498,0.99482,0.99487,0.79517,0.89002,0.33634,1.12306,0.0007724,0.0007724,0.0007724
64,2239.7,0.78036,0.35206,0.98874,0.99617,0.99482,0.99497,0.77182,0.93234,0.33877,1.13697,0.0007526,0.0007526,0.0007526
65,2275.45,0.78865,0.3572,0.98428,0.99454,0.99741,0.99487,0.792,0.90315,0.33779,1.1358,0.0007328,0.0007328,0.0007328
66,2309.36,0.75841,0.34715,0.97891,0.99482,0.99441,0.99495,0.79697,0.89723,0.33628,1.12812,0.000713,0.000713,0.000713
67,2345.21,0.75889,0.3497,0.98239,0.99937,0.99741,0.995,0.78038,0.91567,0.34781,1.13893,0.0006932,0.0006932,0.0006932
68,2379.43,0.75322,0.33936,0.97359,1,0.99704,0.995,0.78607,0.89269,0.33427,1.13634,0.0006734,0.0006734,0.0006734
69,2415.2,0.74912,0.34148,0.96855,0.99223,0.99295,0.99492,0.78301,0.90696,0.35626,1.14238,0.0006536,0.0006536,0.0006536
70,2449.48,0.75472,0.34198,0.97363,0.99225,0.9946,0.99471,0.79643,0.87838,0.34342,1.1124,0.0006338,0.0006338,0.0006338
71,2484.91,0.75914,0.35292,0.97481,1,0.99954,0.995,0.7685,0.89655,0.34705,1.12212,0.000614,0.000614,0.000614
72,2519.22,0.73147,0.32767,0.96475,0.98966,0.99168,0.99474,0.79371,0.89605,0.33297,1.1399,0.0005942,0.0005942,0.0005942
73,2553.23,0.74412,0.33755,0.97018,0.99957,0.99741,0.995,0.78568,0.9132,0.33576,1.13596,0.0005744,0.0005744,0.0005744
74,2588.88,0.75639,0.33667,0.97267,0.99854,0.99741,0.995,0.78455,0.88225,0.34395,1.11663,0.0005546,0.0005546,0.0005546
75,2622.79,0.71792,0.32297,0.95566,0.99741,0.99678,0.99497,0.78671,0.88627,0.33587,1.12531,0.0005348,0.0005348,0.0005348
76,2658.53,0.71459,0.32473,0.96108,0.99663,1,0.99495,0.78653,0.87894,0.33034,1.12357,0.000515,0.000515,0.000515
77,2693.15,0.71126,0.31409,0.95828,0.99708,0.99482,0.99495,0.78415,0.90252,0.34182,1.13667,0.0004952,0.0004952,0.0004952
78,2727.76,0.71936,0.31538,0.95634,0.9974,0.99271,0.99497,0.79711,0.85147,0.33285,1.11262,0.0004754,0.0004754,0.0004754
79,2763.33,0.71339,0.31523,0.95806,1,0.99687,0.995,0.79403,0.86894,0.32549,1.11879,0.0004556,0.0004556,0.0004556
80,2798.2,0.69439,0.31699,0.94466,0.99901,0.99741,0.995,0.78663,0.87142,0.33173,1.12031,0.0004358,0.0004358,0.0004358
81,2833.81,0.70388,0.31452,0.95749,0.99067,1,0.99497,0.79431,0.87007,0.34283,1.12345,0.000416,0.000416,0.000416
82,2868.53,0.68939,0.31059,0.95116,0.99749,1,0.995,0.80067,0.85938,0.33387,1.11685,0.0003962,0.0003962,0.0003962
83,2905.05,0.69876,0.31255,0.94969,0.99899,0.99482,0.995,0.79452,0.86084,0.33486,1.11681,0.0003764,0.0003764,0.0003764
