epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.4747,1.11411,0.89455,1.15704,0.78624,0.71759,0.77277,0.49036,1.30583,1.65982,1.42401,0.000660494,0.000660494,0.000660494
2,126.836,1.16264,0.70007,1.16331,0.0008,0.01389,0.00024,0.00012,1.72562,1142.6,2.55451,0.00131402,0.00131402,0.00131402
3,188.407,1.1276,0.64655,1.15208,0.9271,0.67824,0.70419,0.48142,1.49919,1.46393,1.62522,0.00195435,0.00195435,0.00195435
4,249.409,1.12996,0.654,1.13698,0.84658,0.61314,0.72293,0.46344,1.3749,1.31648,1.42862,0.0019406,0.0019406,0.0019406
5,311.682,1.099,0.60838,1.13205,0.94864,0.94907,0.97846,0.68756,1.1326,0.62809,1.23724,0.0019208,0.0019208,0.0019208
6,372.726,1.08585,0.59141,1.12762,0.96551,0.95833,0.96971,0.69861,1.07375,0.55785,1.2197,0.001901,0.001901,0.001901
7,435.29,1.07442,0.57912,1.11757,0.98527,0.92824,0.97184,0.67688,1.12061,0.65512,1.23721,0.0018812,0.0018812,0.0018812
8,496.165,1.06656,0.5749,1.1069,0.9801,0.91207,0.97277,0.68783,1.05937,0.58258,1.18862,0.0018614,0.0018614,0.0018614
9,557.025,1.07486,0.55488,1.10374,0.97636,0.9562,0.98069,0.69198,1.09018,0.59505,1.20005,0.0018416,0.0018416,0.0018416
10,618.637,1.05837,0.5542,1.1024,0.96961,0.95998,0.97136,0.70543,1.03068,0.47373,1.17646,0.0018218,0.0018218,0.0018218
11,679.886,1.04536,0.54631,1.10348,0.97558,0.96296,0.97402,0.70667,1.07574,0.5113,1.21431,0.001802,0.001802,0.001802
12,744.326,1.0318,0.523,1.07949,0.98122,0.96747,0.98416,0.71884,1.0314,0.48157,1.16976,0.0017822,0.0017822,0.0017822
13,805.493,1.04203,0.52862,1.09996,0.97897,0.94676,0.97962,0.71073,1.03079,0.51212,1.17896,0.0017624,0.0017624,0.0017624
14,866.56,1.00797,0.5152,1.08308,0.98121,0.96727,0.98248,0.70976,1.03588,0.48277,1.17587,0.0017426,0.0017426,0.0017426
15,928.252,1.02714,0.54816,1.08665,0.97903,0.92593,0.9609,0.69469,1.0357,0.52686,1.17113,0.0017228,0.0017228,0.0017228
16,989.347,1.00501,0.50949,1.07998,0.97783,0.91876,0.96169,0.69705,1.04121,0.57649,1.17469,0.001703,0.001703,0.001703
17,1051.38,1.01439,0.51277,1.07984,0.96417,0.96759,0.98501,0.72204,1.03984,0.47795,1.16258,0.0016832,0.0016832,0.0016832
18,1112.67,1.02028,0.51126,1.08701,0.97833,0.96528,0.97811,0.71446,1.08257,0.46105,1.19082,0.0016634,0.0016634,0.0016634
19,1173.77,1.01479,0.5043,1.07359,0.98812,0.96292,0.99048,0.71345,1.02581,0.44557,1.15487,0.0016436,0.0016436,0.0016436
20,1235.67,1.0005,0.49475,1.07781,0.98112,0.96253,0.9837,0.71122,1.07776,0.44881,1.18937,0.0016238,0.0016238,0.0016238
21,1296.6,1.00629,0.49435,1.07678,0.9837,0.97917,0.98807,0.72801,1.01339,0.45535,1.13792,0.001604,0.001604,0.001604
22,1359.51,0.99495,0.48989,1.07084,0.98809,0.96028,0.98123,0.72451,1.00785,0.44468,1.15513,0.0015842,0.0015842,0.0015842
23,1420.57,1.01021,0.48658,1.08108,0.93061,0.91435,0.95352,0.68907,1.07396,0.70175,1.18185,0.0015644,0.0015644,0.0015644
24,1481.68,0.97175,0.4785,1.06167,0.95519,0.94676,0.97572,0.72245,1.00825,0.49869,1.15578,0.0015446,0.0015446,0.0015446
25,1543.2,0.99356,0.48012,1.06408,0.98344,0.96223,0.98391,0.72223,0.99546,0.42765,1.15242,0.0015248,0.0015248,0.0015248
26,1604.14,0.98296,0.48556,1.05766,0.9791,0.9759,0.98559,0.72998,0.99886,0.42735,1.15007,0.001505,0.001505,0.001505
27,1666.73,0.98653,0.46444,1.07696,0.98436,0.97917,0.99347,0.72949,1.00408,0.40811,1.14544,0.0014852,0.0014852,0.0014852
28,1727.78,0.96843,0.47457,1.06113,0.98152,0.98355,0.99292,0.73663,0.96313,0.42903,1.11907,0.0014654,0.0014654,0.0014654
29,1789.08,0.97153,0.46599,1.06237,0.99248,0.96759,0.99167,0.71786,1.00935,0.40841,1.13868,0.0014456,0.0014456,0.0014456
30,1850.51,0.96811,0.47525,1.04807,0.97458,0.97622,0.98895,0.72329,1.00199,0.41922,1.1557,0.0014258,0.0014258,0.0014258
31,1911.55,0.97627,0.47105,1.06884,0.98925,0.97917,0.99199,0.73089,1.00913,0.41568,1.1315,0.001406,0.001406,0.001406
32,1973.21,0.96187,0.45697,1.04983,0.97888,0.96549,0.99233,0.72917,0.98685,0.41144,1.13451,0.0013862,0.0013862,0.0013862
33,2034.07,0.96868,0.46068,1.05621,0.9897,0.96991,0.99206,0.74341,0.98966,0.40911,1.12191,0.0013664,0.0013664,0.0013664
34,2095.32,0.95369,0.44186,1.04801,0.98372,0.97909,0.99334,0.72636,0.9819,0.4015,1.13101,0.0013466,0.0013466,0.0013466
35,2156.95,0.96958,0.46536,1.08177,0.99212,0.97685,0.99049,0.74004,0.9593,0.38954,1.12346,0.0013268,0.0013268,0.0013268
36,2217.82,0.95427,0.45732,1.04704,0.99053,0.96896,0.9926,0.74456,0.95532,0.39842,1.11018,0.001307,0.001307,0.001307
37,2282.7,0.95621,0.45489,1.05286,0.98907,0.96759,0.98803,0.71853,0.99177,0.41622,1.13182,0.0012872,0.0012872,0.0012872
38,2343.99,0.94954,0.44999,1.0496,0.9868,0.97685,0.99121,0.73519,0.97777,0.39252,1.13021,0.0012674,0.0012674,0.0012674
39,2405.15,0.95231,0.45869,1.04067,0.98923,0.97917,0.98716,0.74007,0.96989,0.38759,1.11791,0.0012476,0.0012476,0.0012476
40,2466.74,0.95526,0.44713,1.04479,0.98824,0.97266,0.99098,0.74077,0.96551,0.38601,1.11304,0.0012278,0.0012278,0.0012278
41,2527.77,0.93996,0.45922,1.04617,0.99153,0.97222,0.99273,0.73401,0.98476,0.40081,1.13295,0.001208,0.001208,0.001208
42,2588.83,0.93418,0.45262,1.02882,0.9906,0.97623,0.99292,0.74061,0.9581,0.38914,1.10913,0.0011882,0.0011882,0.0011882
43,2650.74,0.93078,0.44567,1.04014,0.99292,0.97452,0.99419,0.7374,0.99147,0.39072,1.12463,0.0011684,0.0011684,0.0011684
44,2711.66,0.9307,0.43473,1.04403,0.98825,0.97324,0.99237,0.72415,1.00165,0.41235,1.14332,0.0011486,0.0011486,0.0011486
45,2772.78,0.941,0.44887,1.03728,0.98184,0.96296,0.98787,0.73241,0.96509,0.42351,1.11901,0.0011288,0.0011288,0.0011288
46,2834.38,0.91482,0.42775,1.03424,0.98638,0.96991,0.99163,0.73313,0.98507,0.40181,1.13647,0.001109,0.001109,0.001109
47,2895.63,0.92323,0.43678,1.04379,0.99294,0.97729,0.99047,0.73673,0.97713,0.38093,1.11655,0.0010892,0.0010892,0.0010892
48,2957.6,0.92839,0.44104,1.03229,0.9844,0.98843,0.99385,0.73228,0.98229,0.40677,1.1152,0.0010694,0.0010694,0.0010694
49,3018.41,0.91313,0.43526,1.03323,0.9867,0.9838,0.99316,0.7389,0.96912,0.37555,1.11474,0.0010496,0.0010496,0.0010496
50,3079.5,0.91098,0.41964,1.03845,0.98821,0.97012,0.98784,0.73761,0.95752,0.38283,1.11223,0.0010298,0.0010298,0.0010298
51,3141.15,0.91595,0.42801,1.02866,0.99063,0.97846,0.98936,0.73377,0.9733,0.38688,1.12842,0.00101,0.00101,0.00101
52,3202.31,0.91767,0.41494,1.0267,0.99135,0.97917,0.98996,0.74231,0.9627,0.37609,1.11773,0.0009902,0.0009902,0.0009902
53,3263.65,0.8849,0.42619,1.01472,0.97703,0.98463,0.99223,0.73823,0.95486,0.38282,1.11484,0.0009704,0.0009704,0.0009704
54,3325.94,0.90774,0.41911,1.03176,0.97859,0.98148,0.9905,0.72859,0.96765,0.38625,1.11029,0.0009506,0.0009506,0.0009506
55,3386.77,0.89085,0.40273,1.02248,0.98453,0.97917,0.9937,0.74149,0.95737,0.37,1.11821,0.0009308,0.0009308,0.0009308
56,3448.08,0.90166,0.41051,1.02353,0.98606,0.9828,0.99285,0.73708,0.96954,0.35998,1.11845,0.000911,0.000911,0.000911
57,3510.21,0.88395,0.40208,1.01919,0.99065,0.98078,0.99121,0.73495,0.9878,0.37428,1.13352,0.0008912,0.0008912,0.0008912
58,3571.05,0.89367,0.41497,1.0309,0.99455,0.98148,0.99452,0.74278,0.95362,0.37323,1.10003,0.0008714,0.0008714,0.0008714
59,3633.02,0.88004,0.40305,1.01226,0.98831,0.97863,0.99427,0.74028,0.9443,0.36659,1.10654,0.0008516,0.0008516,0.0008516
60,3694.34,0.88164,0.39942,1.01203,0.97859,0.97685,0.99074,0.74345,0.94871,0.36696,1.11881,0.0008318,0.0008318,0.0008318
61,3755.33,0.8771,0.39906,1.02316,0.9906,0.97577,0.9936,0.75211,0.95081,0.35748,1.10886,0.000812,0.000812,0.000812
62,3818.41,0.87742,0.39069,1.01485,0.98608,0.98362,0.99374,0.74199,0.96836,0.36133,1.11896,0.0007922,0.0007922,0.0007922
63,3879.47,0.86315,0.39439,1.00729,0.98704,0.97685,0.99331,0.73968,0.95037,0.35171,1.11679,0.0007724,0.0007724,0.0007724
64,3940.7,0.85938,0.38426,1.00542,0.9907,0.98603,0.99463,0.70387,1.01729,0.37747,1.13724,0.0007526,0.0007526,0.0007526
65,4002.45,0.85912,0.39106,1.01167,0.99037,0.97454,0.98536,0.72429,0.95791,0.37026,1.11947,0.0007328,0.0007328,0.0007328
66,4063.56,0.83304,0.3825,0.99084,0.99528,0.97554,0.98894,0.73336,0.94802,0.37483,1.10431,0.000713,0.000713,0.000713
67,4125.25,0.8496,0.38156,1.01109,0.99033,0.97917,0.99406,0.73116,0.94949,0.36538,1.10534,0.0006932,0.0006932,0.0006932
68,4187.53,0.85364,0.37633,1.00081,0.99765,0.98114,0.99475,0.74874,0.93173,0.34622,1.09628,0.0006734,0.0006734,0.0006734
69,4248.72,0.82795,0.37895,1.00012,0.9876,0.9838,0.9942,0.74687,0.94918,0.34857,1.10712,0.0006536,0.0006536,0.0006536
70,4310.84,0.83432,0.38099,1.00492,0.97913,0.97917,0.99353,0.73866,0.94048,0.3575,1.1022,0.0006338,0.0006338,0.0006338
71,4371.94,0.83967,0.37647,1.00605,0.9861,0.98567,0.99314,0.74227,0.94413,0.35174,1.09451,0.000614,0.000614,0.000614
72,4433.2,0.8273,0.36989,0.99612,0.99251,0.98148,0.99418,0.74035,0.92865,0.35516,1.09178,0.0005942,0.0005942,0.0005942
73,4495.26,0.80455,0.36322,0.99159,0.99529,0.97884,0.99468,0.74417,0.92779,0.34594,1.09986,0.0005744,0.0005744,0.0005744
74,4556.48,0.80252,0.3569,0.98693,0.99296,0.97913,0.99461,0.74936,0.90563,0.34524,1.08974,0.0005546,0.0005546,0.0005546
75,4617.84,0.8058,0.36262,0.98969,0.98833,0.98003,0.99424,0.73361,0.93192,0.3452,1.10045,0.0005348,0.0005348,0.0005348
76,4679.49,0.80275,0.3581,0.98817,0.99764,0.97904,0.99468,0.7542,0.93482,0.34002,1.09407,0.000515,0.000515,0.000515
77,4741.32,0.79482,0.35288,0.98648,0.99659,0.97454,0.99432,0.74616,0.93581,0.33499,1.10498,0.0004952,0.0004952,0.0004952
78,4802.86,0.79163,0.35137,0.98488,0.99123,0.97685,0.99416,0.74569,0.92195,0.33936,1.09498,0.0004754,0.0004754,0.0004754
79,4863.71,0.78595,0.35535,0.98697,0.98835,0.98179,0.9938,0.74583,0.92903,0.34006,1.10298,0.0004556,0.0004556,0.0004556
80,4925.43,0.76405,0.34413,0.97974,0.99294,0.97612,0.99411,0.72165,0.97624,0.35048,1.13387,0.0004358,0.0004358,0.0004358
81,4986.49,0.7752,0.34419,0.97635,0.99426,0.97685,0.99441,0.74588,0.92845,0.3357,1.1023,0.000416,0.000416,0.000416
82,5048.47,0.76931,0.34258,0.97364,0.9953,0.98091,0.99445,0.75887,0.92062,0.33407,1.09616,0.0003962,0.0003962,0.0003962
83,5109.9,0.74042,0.33539,0.97164,0.99442,0.97917,0.99328,0.73495,0.94071,0.34255,1.12387,0.0003764,0.0003764,0.0003764
84,5171.65,0.74295,0.32581,0.9601,0.98834,0.98116,0.99232,0.74262,0.95103,0.33884,1.12072,0.0003566,0.0003566,0.0003566
85,5232.94,0.73747,0.33665,0.97157,0.99529,0.97854,0.99447,0.74472,0.94133,0.33387,1.10662,0.0003368,0.0003368,0.0003368
86,5294.14,0.72772,0.32498,0.96705,0.98842,0.98801,0.99417,0.73913,0.93833,0.3252,1.12683,0.000317,0.000317,0.000317
87,5356.25,0.74079,0.32623,0.97025,0.99253,0.97917,0.99415,0.73848,0.92862,0.33029,1.11904,0.0002972,0.0002972,0.0002972
88,5417.2,0.7149,0.33562,0.96748,0.98591,0.98611,0.99434,0.73327,0.96313,0.33261,1.13202,0.0002774,0.0002774,0.0002774
89,5479,0.71464,0.32203,0.95862,0.98415,0.99074,0.99467,0.73994,0.95403,0.3338,1.12684,0.0002576,0.0002576,0.0002576
90,5539.82,0.71292,0.32334,0.95181,0.98613,0.9878,0.994,0.73124,0.95455,0.32836,1.13098,0.0002378,0.0002378,0.0002378
91,5602.6,0.67899,0.27054,0.96875,0.99047,0.9838,0.99438,0.7417,0.93192,0.32698,1.11912,0.000218,0.000218,0.000218
92,5664.04,0.67299,0.30782,0.97438,0.99067,0.98366,0.99333,0.76136,0.92201,0.32001,1.12257,0.0001982,0.0001982,0.0001982
93,5725.41,0.64873,0.25639,0.94992,0.98811,0.98611,0.99454,0.75291,0.9302,0.32736,1.12157,0.0001784,0.0001784,0.0001784
94,5786.31,0.68069,0.26684,0.96956,0.98904,0.98148,0.9941,0.75306,0.92629,0.32498,1.11726,0.0001586,0.0001586,0.0001586
95,5846.92,0.63771,0.25385,0.94723,0.99296,0.97956,0.99295,0.76117,0.92247,0.32466,1.12167,0.0001388,0.0001388,0.0001388
96,5908.52,0.63574,0.2536,0.95275,0.99764,0.97805,0.99465,0.76171,0.91574,0.32883,1.11152,0.000119,0.000119,0.000119
97,5970.19,0.6258,0.2493,0.94324,0.99011,0.98148,0.9947,0.76289,0.90977,0.3262,1.11154,9.92e-05,9.92e-05,9.92e-05
98,6032.16,0.61792,0.24706,0.94128,0.99067,0.98322,0.99465,0.7664,0.91583,0.32557,1.11177,7.94e-05,7.94e-05,7.94e-05
99,6093.29,0.61387,0.267,0.94182,0.99067,0.98321,0.99465,0.76191,0.91995,0.32456,1.11456,5.96e-05,5.96e-05,5.96e-05
100,6154.96,0.59847,0.24105,0.93086,0.99691,0.97685,0.99345,0.7612,0.91536,0.32378,1.1158,3.98e-05,3.98e-05,3.98e-05
